Frequency_MHz,Tsys_K
881.0,24.87730995
913.875,24.49771763
946.75,24.16024859
979.625,23.64646727
1012.5,24.07896985
1045.375,23.79283849
1078.25,22.70843003
1111.125,22.93770384
1144.0,22.84885476
1176.875,22.12287765
1209.75,21.49206455
1242.625,21.16654511
1275.5,20.96656328
1308.375,20.6466135
1341.25,20.46467585
1374.125,20.35819618
1407.0,20.33486544
1439.875,20.45917325
1472.75,20.46422681
1505.625,20.53214192
1538.5,21.29373981
1571.375,20.78716734
1604.25,20.91109069
1637.125,21.14846713
1670.0,24.40091906
